Sample	Sex	PCW	RIN	ReadLength	PC1	PC2	PC3	PEER1	PEER2	PEER3	PEER4	PEER5	PEER6	PEER7	PEER8	PEER9	PEER10
17666	Female	13	8.600000381469727	2x76bp	-0.22018399834632874	0.04569359868764877	-0.0013080199714750051	-0.015952685847878456	9.256485500372946e-4	-0.004229017533361912	0.005220516584813595	-0.0018926665652543306	-0.02744671143591404	-0.016936009749770164	-0.08166344463825226	-0.03415246680378914	-0.1503521353006363
17753	Female	12	7	2x76bp	-0.1985190063714981	0.05781719833612442	0.08717220276594162	-0.01642034389078617	0.0011827941052615643	-0.001868353458121419	-0.007369863800704479	-0.0016324131283909082	0.010003705509006977	-0.012858198955655098	-0.004030198324471712	-0.01630944013595581	-0.06076658144593239
17812	Female	14	8.600000381469727	2x125bp	-0.017062699422240257	0.014301599934697151	0.007908440195024014	-0.01618250645697117	0.0014107262250036001	0.001527987653389573	0.07971020042896271	-0.0016850180691108108	-9.74702270468697e-5	-0.043634042143821716	-0.008705485612154007	-0.0372992604970932	-0.027035845443606377
17835	Female	13	1.7999999523162842	2x125bp	0.055353399366140366	0.043640200048685074	0.02564059942960739	-0.016395343467593193	8.989219204522669e-4	-0.004749988671392202	0.04929272085428238	-0.0016742537263780832	0.007538690697401762	-0.04144878312945366	0.02133828215301037	-0.07297845184803009	0.08859895169734955
17921	Female	14	2.4000000953674316	2x100bp	0.055896200239658356	0.045166801661252975	1.890400017146021e-4	-0.016352921724319458	8.944916189648211e-4	4.2875309009104967e-4	-0.12391744554042816	-0.001748242531903088	0.020259123295545578	0.022837484255433083	0.06144639849662781	-0.014232361689209938	0.14950434863567352
17923	Female	15	1.899999976158142	2x125bp	0.05642649903893471	0.03866330161690712	0.014498899690806866	-0.016077768057584763	0.0015344714047387242	-5.052730557508767e-4	0.15297697484493256	-0.0016654888167977333	0.006994149647653103	0.004166749306023121	-0.004237574525177479	0.013999061658978462	0.05907845497131348
18015	Female	14	9.100000381469727	2x76bp	-0.20678399503231049	0.049724701792001724	0.040610700845718384	-0.016397221013903618	0.0010399033781141043	-7.550271402578801e-5	0.006017096806317568	-0.0016724604647606611	-0.008794338442385197	-0.011164110153913498	7.103158277459443e-4	-0.016835933551192284	-0.06153768673539162
18139	Female	12	6	2x76bp	-0.022327400743961334	0.019413499161601067	0.03149789944291115	-0.0164804570376873	8.929305477067828e-4	-0.0021368509624153376	-0.043947383761405945	-0.0016450961120426655	8.805738179944456e-4	-0.0020389282144606113	0.015166371129453182	-0.048623617738485336	0.007088705897331238
18241	Female	16	5.900000095367432	2x125bp	0.05554300174117088	0.03727490082383156	0.03240029886364937	-0.016192568466067314	0.0014128572074696422	0.0047470638528466225	0.011180005967617035	-0.0017140349373221397	-0.01845926232635975	0.005219301208853722	-0.02583291567862034	-0.03979728743433952	0.07241939753293991
18266	Female	16	5.400000095367432	2x125bp	0.05542660132050514	0.037354301661252975	-0.005038079805672169	-0.01607382856309414	0.0016114050522446632	-8.662962936796248e-4	0.10118839889764786	-0.0016705887392163277	-1.1280590842943639e-4	0.024527961388230324	-0.01018350850790739	0.0028450442478060722	0.06900729984045029
18282	Female	14	4.599999904632568	2x125bp	0.05290139839053154	0.022866500541567802	-0.0012264100369066	-0.01642654463648796	7.902788929641247e-4	1.9676887313835323e-4	0.01570490002632141	-0.001721294247545302	-0.002718837233260274	0.02088579721748829	0.06124849244952202	0.00972302071750164	0.08359582722187042
18294	Female	17	8.300000190734863	2x125bp	0.052949801087379456	0.03355050086975098	-0.0049282400868833065	-0.01635913737118244	0.0013092532753944397	0.004559352993965149	-0.0415530726313591	-0.001678035594522953	9.78145282715559e-4	-0.017201388254761696	0.03544033318758011	0.08130277693271637	0.07702212780714035
18349	Female	14	8	2x125bp	0.02652769908308983	-0.2390899956226349	0.00641542999073863	-0.01621536910533905	0.001183108426630497	5.934700602665544e-4	0.06736226379871368	-0.0017177785048261285	-0.005005544982850552	-0.004436830058693886	-0.046109266579151154	-0.04108431190252304	-0.0053132446482777596
18355	Female	14	4.599999904632568	2x125bp	-0.06618479639291763	0.040426500141620636	0.03113660030066967	-0.016393888741731644	8.163118036463857e-4	-1.0629279859131202e-4	0.07758884876966476	-0.0017122899880632758	-0.0075395479798316956	0.004382503684610128	0.003995398059487343	-0.014709857292473316	0.09412561357021332
18372	Female	13	7.199999809265137	2	4.8616400454193354e-4	0.03947240114212036	0.005772879812866449	-0.01620795764029026	0.0013250985648483038	0.0026433763559907675	0.10241580754518509	-0.0017246566712856293	0.0058311703614890575	0.03692159056663513	0.09501596540212631	0.078058622777462	-0.04481945559382439
