"genes"	"modules"
"NMNAT2"	"M22"
"NMNAT3"	"M17"
"NMRAL1"	"M5"
"NMRK1"	"M7"
"NMS"	"M1"
"NMT1"	"M6"
"NMT2"	"M1"
"NMTRQ-TTG12-1"	"M27"
"NMU"	"M3"
"NMUR1"	"M1"
"NNAT"	"M1"
"NNMT"	"M26"
"NNT"	"M8"
"NOA1"	"M1"
"NOB1"	"M10"
"NOC2L"	"M5"
"NOC2LP1"	"M1"
"NOC3L"	"M7"
"NOC4L"	"M18"
"NOD1"	"M1"
"NOD2"	"M1"
"NODAL"	"M1"
"NOG"	"M1"
"NOL11"	"M8"
"NOL12"	"M14"
"NOL3"	"M1"
"NOL4"	"M8"
"NOL4L"	"M18"
"NOL6"	"M14"
"NOL7"	"M8"
"NOL8"	"M2"
"NOLC1"	"M17"
"NOMO1"	"M22"
"NOMO2"	"M1"
"NOMO3"	"M7"
"NOP10"	"M12"
"NOP14"	"M6"
"NOP14-AS1"	"M6"
"NOP16"	"M4"
"NOP53"	"M1"
"NOP9"	"M14"
"NORAD"	"M7"
"NOS1"	"M1"
"NOS1AP"	"M10"
"NOS2"	"M1"
"NOS2P1"	"M2"
"NOS2P3"	"M8"
"NOS3"	"M4"
"NOSIP"	"M14"
"NOSTRIN"	"M3"
"NOTCH1"	"M9"
"NOTCH2"	"M9"
"NOTCH2NLA"	"M9"
"NOTCH3"	"M2"
"NOTCH4"	"M2"
"NOTUM"	"M19"
"NOVA1"	"M1"
"NOVA2"	"M10"
"NOX4"	"M1"
"NOX5"	"M4"
"NOXA1"	"M13"
"NOXO1"	"M5"
"NPAP1"	"M1"
"NPAP1P2"	"M2"
"NPAP1P3"	"M2"
"NPAS1"	"M21"
"NPAS2"	"M1"
"NPAS3"	"M1"
"NPAS4"	"M1"
"NPB"	"M5"
"NPC1L1"	"M20"
"NPC2"	"M30"
"NPDC1"	"M5"
"NPEPL1"	"M18"
"NPEPPS"	"M6"
"NPEPPSP1"	"M5"
"NPFFR1"	"M6"
"NPFFR2"	"M1"
"NPHP1"	"M1"
"NPHP3"	"M1"
"NPHP3-ACAD11"	"M2"
"NPHP3-AS1"	"M9"
"NPHP4"	"M8"
"NPHS1"	"M3"
"NPIPA1"	"M3"
"NPIPA2"	"Not.Correlated"
"NPIPA3"	"M17"
"NPIPA5"	"M2"
"NPIPA7"	"M3"
"NPIPA8"	"M2"
"NPIPA9"	"M3"
"NPIPB11"	"M3"
"NPIPB12"	"M7"
"NPIPB13"	"M12"
"NPIPB14P"	"M1"
"NPIPB15"	"M6"
"NPIPB2"	"M7"
"NPIPB3"	"M7"
"NPIPB4"	"M7"
"NPIPB5"	"M4"
"NPIPB6"	"M4"
"NPIPB7"	"M7"
"NPIPB8"	"M8"
"NPIPB9"	"M6"
"NPIPP1"	"M3"
"NPL"	"M5"
"NPLOC4"	"M10"
"NPM1"	"M8"
"NPM1P14"	"M15"
"NPM1P17"	"M1"
"NPM1P25"	"M1"
"NPM1P27"	"M1"
"NPM1P29"	"M1"
"NPM1P3"	"M1"
"NPM1P33"	"M11"
"NPM1P37"	"M13"
"NPM1P39"	"M1"
"NPM1P40"	"M10"
"NPM1P41"	"M1"
"NPM1P52"	"M4"
"NPM1P6"	"M23"
"NPM1P7"	"M2"
"NPM2"	"M25"
"NPM3"	"M3"
"NPNT"	"M23"
"NPPA"	"M11"
"NPPC"	"M1"
"NPR1"	"M26"
"NPR2"	"M1"
"NPR3"	"M1"
"NPRL2"	"M14"
"NPRL3"	"M18"
"NPSR1"	"M1"
"NPSR1-AS1"	"M1"
"NPTN"	"M22"
"NPTN-IT1"	"M4"
"NPTX1"	"M1"
"NPTX2"	"M1"
"NPTXR"	"M13"
"NPVF"	"M1"
"NPY"	"M2"
"NPY1R"	"M21"
"NPY2R"	"M1"
"NPY4R"	"M1"
"NPY4R2"	"M3"
"NPY5R"	"M21"
"NPY6R"	"M1"
"NQO1"	"M16"
"NQO2"	"M25"
"NR1D1"	"M10"
"NR1D2"	"M12"
"NR1H2"	"M5"
"NR1H3"	"M6"
"NR1H4"	"M20"
"NR1I2"	"M8"
"NR1I3"	"M2"
"NR2C1"	"M5"
"NR2C2"	"M11"
"NR2C2AP"	"M4"
"NR2E1"	"M1"
"NR2E3"	"M1"
"NR2F1"	"M1"
"NR2F1-AS1"	"M1"
"NR2F2"	"M1"
"NR2F2-AS1"	"M1"
"NR2F6"	"M13"
"NR3C1"	"M1"
"NR3C2"	"M1"
"NR4A1"	"M14"
"NR4A2"	"M1"
"NR4A3"	"M8"
"NR5A1"	"M1"
"NR5A2"	"M1"
"NR6A1"	"M1"
"NRAD1"	"M1"
"NRAP"	"M1"
"NRARP"	"M4"
"NRAS"	"M12"
"NRAV"	"M15"
"NRBF2"	"M12"
"NRBP2"	"M10"
"NRCAM"	"M2"
"NREP"	"M2"
"NRF1"	"M4"
"NRG1"	"M1"
"NRG1-IT1"	"M4"
"NRG1-IT3"	"M1"
"NRG2"	"M1"
"NRG3"	"M9"
"NRG4"	"M4"
"NRGN"	"M22"
"NRIP1"	"M2"
"NRIP2"	"M21"
"NRIP3"	"M1"
"NRIR"	"M1"
"NRL"	"M5"
"NRM"	"M9"
"NRN1"	"M1"
"NRP1"	"M23"
"NRP2"	"M1"
"NRROS"	"M2"
"NRSN2"	"M15"
"NRSN2-AS1"	"M2"
"NRXN1"	"M21"
"NRXN2"	"M13"
"NRXN3"	"M1"
"NSA2"	"M2"
"NSD3"	"M2"
"NSF"	"M1"
"NSFP1"	"M2"
"NSG1"	"M15"
"NSG2"	"M15"
"NSMAF"	"M3"
"NSMCE1"	"M14"
"NSMCE1-DT"	"M4"
"NSMCE3"	"M12"
"NSMCE4A"	"M7"
"NSMF"	"M6"
"NSRP1"	"M13"
"NSRP1P1"	"M3"
"NSUN5"	"M13"
"NSUN5P2"	"M5"
"NSUN7"	"M1"
"NT5C"	"M14"
"NT5C1A"	"M1"
"NT5C3A"	"M7"
"NT5DC1"	"M3"
"NT5DC2"	"M14"
"NT5DC3"	"M23"
"NT5E"	"M1"
"NT5M"	"M1"
"NTAN1"	"M2"
"NTAQ1"	"M3"
"NTF3"	"M23"
"NTHL1"	"M5"
"NTM"	"M3"
"NTM-IT"	"M12"
"NTMT1"	"M5"
"NTN1"	"M1"
"NTN3"	"M5"
"NTN4"	"M1"
"NTN5"	"M8"
"NTNG1"	"M1"
"NTNG2"	"M13"
"NTPCR"	"M12"
"NTRK1"	"M1"
"NTRK2"	"M1"
"NTRK3"	"M10"
"NTS"	"M1"
"NTSR1"	"M8"
"NTSR2"	"M1"
"NUAK1"	"M1"
"NUAK2"	"M23"
"NUB1"	"M2"
"NUBP1"	"M1"
"NUBP2"	"M5"
"NUBPL"	"M2"
"NUCB1"	"M22"
"NUCB2"	"M17"
"NUCKS1"	"M8"
"NUDC"	"M6"
"NUDCD1"	"M8"
"NUDCD2"	"M1"
"NUDCD3"	"M4"
"NUDCP1"	"M16"
"NUDT1"	"M4"
"NUDT12"	"M12"
"NUDT13"	"M1"
"NUDT14"	"M15"
"NUDT15"	"M16"
"NUDT16"	"M6"
"NUDT16L1"	"M3"
"NUDT16L2P"	"M29"
"NUDT17"	"M11"
"NUDT18"	"M13"
"NUDT19"	"M22"
"NUDT19-DT"	"M22"
"NUDT2"	"M13"
"NUDT22"	"M3"
"NUDT4"	"M8"
"NUDT4B"	"M1"
"NUDT4P2"	"M1"
"NUDT5"	"M4"
"NUDT6"	"M17"
"NUDT7"	"M3"
"NUDT8"	"M5"
"NUF2"	"M9"
"NUFIP1"	"M8"
"NUFIP2"	"M2"
"NUGGC"	"M1"
"NUMA1"	"M11"
"NUMB"	"M13"
"NUMBL"	"M10"
"NUP107"	"M9"
"NUP133"	"M8"
"NUP205"	"M7"
"NUP210"	"M8"
"NUP210L"	"Not.Correlated"
"NUP214"	"M10"
"NUP35P1"	"M1"
"NUP37"	"M1"
"NUP54"	"M7"
"NUP62"	"M10"
"NUP85"	"M3"
"NUP88"	"M1"
"NUP93"	"M1"
"NUP98"	"M10"
"NUPR1"	"M16"
"NUPR2"	"M1"
"NUS1"	"M7"
"NUS1P2"	"M4"
"NUSAP1"	"M9"
"NUTF2"	"M6"
"NUTM2A"	"M5"
"NUTM2A-AS1"	"M14"
"NUTM2B"	"M3"
"NUTM2B-AS1"	"M3"
"NUTM2D"	"M14"
"NUTM2E"	"M10"
"NWD1"	"M1"
"NWD2"	"M23"
"NXF1"	"M10"
"NXN"	"M23"
"NXNL2"	"M4"
"NXPE2"	"M23"
"NXPE3"	"M2"
"NXPH1"	"M1"
"NXPH2"	"M1"
"NXPH3"	"M8"
"NXPH4"	"M21"
"NXT1"	"M4"
"NYAP1"	"M14"
"NYAP2"	"M3"
"NYNRIN"	"M1"
"OACYLP"	"M1"
"OAF"	"M17"
"OARD1"	"M8"
"OAS1"	"M1"
"OAS2"	"M1"
"OAS3"	"M26"
"OAT"	"M16"
"OAZ1"	"M3"
"OAZ2"	"M2"
"OAZ3"	"M6"
"OBI1"	"M2"
"OBI1-AS1"	"M1"
"OBSCN"	"M10"
"OBSCN-AS1"	"M1"
"OBSL1"	"M13"
"OC90"	"M3"
"OCA2"	"M1"
"OCEL1"	"M13"
"OCIAD2"	"M1"
"OCLN"	"M3"
"OCLNP1"	"M3"
"OCM"	"M1"
"ODAD1"	"M1"
"ODAD2"	"M1"
"ODAD2P1"	"M1"
"ODAD3"	"M1"
"ODAD4"	"M1"
"ODAPH"	"M1"
"ODC1"	"M8"
"ODC1-DT"	"M1"
"ODCP"	"M3"
"ODF2"	"M7"
"ODF2L"	"M18"
"ODF3B"	"M1"
"ODR4"	"M7"
"OFCC1"	"M1"
"OGDHL"	"M1"
"OGFOD1P1"	"M1"
"OGFOD2"	"M5"
"OGFR"	"M5"
"OGFRL1"	"M1"
"OGG1"	"M6"
"OGN"	"M19"
"OIP5"	"M4"
"OIP5-AS1"	"M8"
"OIT3"	"M20"
"OLA1"	"M2"
"OLA1P2"	"M6"
"OLA1P3"	"M3"
"OLAH"	"M3"
"OLFM1"	"M1"
"OLFM2"	"M14"
"OLFM3"	"M1"
"OLFM4"	"M1"
"OLFM5P"	"M7"
"OLFML1"	"M1"
"OLFML2A"	"M1"
"OLFML2B"	"M1"
"OLFML3"	"M26"
"OLIG1"	"M13"
"OLIG2"	"M13"
"OLIG3"	"M31"
"OLMALINC"	"M10"
"OLR1"	"M2"
"OMA1"	"M2"
"OMD"	"M26"
"OMG"	"M1"
"ONECUT1"	"M1"
"ONECUT2"	"M1"
"ONECUT3"	"M8"
"OPA3"	"M7"
"OPCML"	"M3"
"OPCML-IT1"	"M2"
"OPCML-IT2"	"M3"
"OPLAH"	"M4"
"OPN3"	"M1"
"OPN5"	"M1"
"OPRD1"	"M11"
"OPRK1"	"M1"
"OPRL1"	"M13"
"OPRM1"	"M1"
"OPTN"	"M22"
"OR10AB1P"	"M1"
"OR10AE1P"	"M1"
"OR11A1"	"M3"
"OR13A1"	"M1"
"OR13C1P"	"M1"
"OR13C5"	"M1"
"OR14K1"	"M1"
"OR1F1"	"M23"
"OR2A1-AS1"	"M3"
"OR2A20P"	"M8"
"OR2A7"	"M1"
"OR2A9P"	"M8"
"OR2AG2"	"M1"
"OR2AK2"	"M1"
"OR2B8P"	"M1"
"OR2D2"	"M1"
"OR2H1"	"M1"
"OR2L13"	"M1"
"OR2L1P"	"M1"
"OR2L2"	"M1"
"OR2L3"	"M1"
"OR2L5"	"M1"
"OR2L6P"	"M1"
"OR2L8"	"M1"
"OR2L9P"	"M1"
"OR2M1P"	"M1"
"OR2M2"	"M1"
"OR2M3"	"M1"
"OR2M4"	"M1"
"OR2M5"	"M1"
"OR2T8"	"M9"
"OR2W3"	"M1"
"OR2X1P"	"M1"
"OR3A2"	"M1"
"OR3D1P"	"M1"
"OR4A49P"	"M1"
"OR4F21"	"M1"
"OR4F3"	"M3"
"OR51B5"	"M4"
"OR51E2"	"M2"
"OR51K1P"	"M1"
"OR52H1"	"M3"
"OR52H2P"	"M4"
"OR52T1P"	"M3"
"OR5AH1P"	"M1"
"OR5AM1P"	"M1"
"OR6A2"	"M1"
"OR6W1P"	"M2"
"OR7A17"	"M5"
"OR7A19P"	"M2"
"OR7A5"	"M1"
"OR7D2"	"M2"
"OR7E104P"	"M2"
"OR7E117P"	"M2"
"OR7E125P"	"M3"
"OR7E13P"	"M21"
"OR7E14P"	"M11"
"OR7E154P"	"M1"
"OR7E157P"	"M1"
"OR7E162P"	"M6"
"OR7E2P"	"M21"
"OR7E38P"	"M10"
"OR7E7P"	"M3"
"OR7E94P"	"M3"
"OR7M1P"	"M1"
"OR9A1P"	"M4"
"OR9A2"	"M3"
"OR9A3P"	"M4"
"OR9A4"	"M6"
"OR9K1P"	"M1"
"OR9N1P"	"M2"
"OR9P1P"	"M3"
"ORAI1"	"M3"
"ORAI2"	"M13"
"ORAI3"	"M13"
"ORC1"	"M9"
"ORC2"	"M7"
"ORC4"	"M7"
"ORC6"	"M1"
"ORM1"	"M20"
"ORMDL1"	"M12"
"ORMDL2"	"M3"
"ORMDL3"	"M2"
"OS9"	"M6"
"OSBPL10"	"M1"
"OSBPL10-AS1"	"M1"
"OSBPL2"	"M6"
"OSBPL3"	"M1"
"OSBPL5"	"M18"
"OSBPL6"	"M3"
"OSBPL7"	"M8"
"OSBPL8"	"M8"
"OSBPL9"	"M3"
"OSBPL9P4"	"M3"
"OSCAR"	"M3"
"OSCP1"	"M1"
"OSER1"	"M4"
"OSER1-DT"	"M3"
"OSGEPL1-AS1"	"M22"
"OSGIN1"	"M8"
"OSGIN2"	"M12"
"OSMR"	"M26"
"OSMR-AS1"	"M2"
"OSR1"	"M1"
"OSR2"	"M26"
"OST4"	"M6"
"OSTC"	"M7"
"OSTCP1"	"M1"
"OSTCP8"	"M22"
"OSTF1"	"M17"
"OSTM1"	"M12"
"OSTM1-AS1"	"M1"
"OSTN"	"M1"
"OSTN-AS1"	"M1"
"OTOA"	"M14"
"OTOAP1"	"M12"
"OTOF"	"M1"
"OTOG"	"M17"
"OTOGL"	"M1"
"OTOR"	"M8"
"OTOS"	"M1"
"OTP"	"M1"
"OTUB2"	"M1"
"OTUD1"	"M4"
"OTUD3"	"M2"
"OTUD4"	"M1"
"OTUD6B"	"M2"
"OTUD6B-AS1"	"M17"
"OTUD7A"	"M8"
"OTULIN-DT"	"M4"
"OTULINL"	"M21"
"OTX1"	"M1"
"OTX2"	"M1"
"OTX2-AS1"	"M1"
"OVCA2"	"M4"
"OVCH1"	"M1"
"OVCH2"	"M1"
"OVGP1"	"M1"
"OVOL1"	"M19"
"OVOL2"	"M1"
"OXCT1"	"M16"
"OXCT1-AS1"	"M3"
"OXCT2"	"M1"
"OXCT2P1"	"M1"
"OXER1"	"M9"
"OXGR1"	"M1"
"OXLD1"	"M5"
"OXR1"	"M16"
"OXSR1"	"M1"
"OXTR"	"M4"
"P2RX3"	"M31"
"P2RX5"	"M25"
"P2RX5-TAX1BP3"	"M2"
"P2RX6"	"M1"
"P2RX7"	"M1"
"P2RY1"	"M1"
"P2RY11"	"M5"
"P2RY12"	"M30"
"P2RY13"	"M30"
"P2RY14"	"M2"
"P2RY6"	"M19"
"P3H2"	"M1"
"P3H2-AS1"	"M24"
"P3H3"	"M2"
"P3H4"	"M13"
"P3R3URF-PIK3R3"	"M2"
"P4HA1"	"M7"
"P4HA2"	"M9"
"P4HA3"	"M15"
"P4HA3-AS1"	"M2"
"P4HB"	"M6"
"PA2G4"	"M6"
"PA2G4P2"	"M1"
"PA2G4P4"	"M1"
"PA2G4P6"	"M14"
"PABIR1"	"M2"
"PABPC1"	"M11"
"PABPC1L"	"M16"
"PABPC1P11"	"M15"
"PABPC1P4"	"M1"
"PABPC1P8"	"M1"
"PABPC3"	"M1"
"PABPC4"	"M2"
"PABPC4L"	"M9"
"PABPN1"	"M6"
"PABPN1L"	"M11"
"PACC1"	"M1"
"PACRG"	"M1"
"PACRGL"	"M5"
"PACS2"	"M18"
"PACSIN1"	"M22"
"PACSIN3"	"M1"
"PADI1"	"M1"
"PADI2"	"M1"
"PADI4"	"M2"
"PAEP"	"M26"
"PAF1"	"M6"
"PAFAH1B1"	"M10"
"PAFAH1B2P2"	"M1"
"PAFAH1B3"	"M14"
"PAFAH2"	"M2"
"PAG1"	"M11"
"PAGR1"	"M5"
"PAH"	"M20"
"PAICS"	"M9"
"PAIP1"	"M8"
"PAIP1P1"	"M1"
"PAIP2"	"M2"
"PAIP2B"	"M16"
"PAK1IP1"	"M8"
"PAK2"	"M1"
"PAK4"	"M23"
"PAK5"	"M11"
"PAK6"	"M1"
"PALD1"	"M3"
"PALLD"	"M1"
"PALM"	"M18"
"PALM2AKAP2"	"M1"
"PALM3"	"M25"
"PALMD"	"M8"
"PAM"	"M1"
"PAM16"	"M5"
"PAMR1"	"M26"
"PANCR"	"M1"
"PANK3"	"M7"
"PANK4"	"M6"
"PANTR1"	"M1"
"PANX1"	"M12"
"PANX2"	"M15"
"PAOX"	"M5"
"PAPLN"	"M2"
"PAPOLB"	"M1"
"PAPOLG"	"M11"
"PAPPA"	"M1"
"PAPPA-AS1"	"M21"
"PAPPA-AS2"	"M21"
"PAPPA2"	"M1"
"PAPSS2"	"M1"
"PAQR3"	"M10"
"PAQR4"	"M14"
"PAQR5"	"M1"
"PAQR5-DT"	"M3"
"PAQR6"	"M13"
"PAQR7"	"M13"
"PAQR8"	"M3"
"PAQR9"	"M1"
"PAQR9-AS1"	"M2"
"PARD3"	"M1"
"PARD3B"	"M1"
"PARD6A"	"M4"
"PARD6B"	"M10"
"PARD6G"	"M17"
"PARD6G-AS1"	"M11"
"PARK7"	"M3"
"PARK7P1"	"M3"
"PARK7P2"	"M7"
"PARL"	"M3"
"PARM1"	"M32"
"PARP1"	"M1"
"PARP10"	"M13"
"PARP11"	"M25"
"PARP12"	"M1"
"PARP14"	"M2"
"PARP15"	"M1"
"PARP3"	"M7"
"PARP4"	"M9"
"PARP6"	"M6"
"PARP8"	"M1"
"PARP9"	"M30"
"PARPBP"	"M11"
"PARS2"	"M4"
"PART1"	"M1"
"PARVA"	"M1"
"PARVB"	"M1"
"PARVG"	"M30"
"PASK"	"M2"
"PATE2"	"M1"
"PATE4"	"M4"
"PATJ"	"M1"
"PATJ-DT"	"M2"
"PATL1"	"M10"
"PATL2"	"M1"
"PATZ1"	"M5"
"PAUPAR"	"M18"
"PAX1"	"M13"
"PAX2"	"M31"
"PAX3"	"M1"
"PAX4"	"M2"
"PAX5"	"M1"
"PAX6"	"M1"
"PAX7"	"M1"
"PAX8"	"M1"
"PAX8-AS1"	"M5"
"PAXBP1"	"M1"
"PAXIP1"	"M13"
"PAXIP1-AS2"	"M26"
"PAXX"	"M5"
"PBK"	"M9"
"PBOV1"	"M1"
"PBX1"	"M13"
"PBX2"	"M18"
"PBX3"	"M1"
"PBX4"	"M18"
"PBXIP1"	"M3"
"PC"	"M1"
"PCA3"	"M4"
"PCARE"	"M1"
"PCAT1"	"M3"
"PCAT14"	"M4"
"PCAT18"	"M6"
"PCAT19"	"M3"
"PCAT6"	"M10"
"PCAT7"	"M24"
"PCBD1"	"M1"
"PCBD2"	"M2"
"PCBP1"	"M18"
"PCBP2"	"M1"
"PCBP2P1"	"M1"
"PCBP3"	"M1"
"PCBP4"	"M7"
"PCCA"	"M1"
"PCDH1"	"M22"
"PCDH10"	"M1"
"PCDH12"	"M3"
"PCDH15"	"M1"
"PCDH17"	"M1"
"PCDH18"	"M1"
"PCDH20"	"M1"
"PCDH7"	"M1"
"PCDH8"	"M22"
"PCDH8P1"	"M1"
"PCDH9"	"M1"
"PCDHA1"	"M25"
"PCDHA10"	"M3"
"PCDHA11"	"M21"
"PCDHA12"	"M3"
"PCDHA13"	"M9"
"PCDHA14"	"M1"
"PCDHA2"	"M21"
"PCDHA3"	"M16"
"PCDHA5"	"M2"
"PCDHA6"	"M2"
"PCDHA7"	"M3"
"PCDHA8"	"M1"
"PCDHA9"	"M15"
"PCDHAC1"	"M21"
"PCDHAC2"	"M23"
"PCDHB1"	"M6"
"PCDHB10"	"M2"
"PCDHB11"	"M2"
"PCDHB12"	"M2"
"PCDHB13"	"M3"
"PCDHB14"	"M3"
"PCDHB16"	"M11"
"PCDHB17P"	"M3"
"PCDHB18P"	"M11"
"PCDHB19P"	"M10"
"PCDHB2"	"M2"
"PCDHB3"	"M2"
"PCDHB4"	"M2"
"PCDHB5"	"M2"
"PCDHB6"	"M2"
"PCDHB7"	"M1"
"PCDHB8"	"M1"
"PCDHB9"	"M10"
"PCDHGA1"	"M1"
"PCDHGA11"	"M11"
"PCDHGA12"	"M3"
"PCDHGA2"	"M2"
"PCDHGA3"	"M22"
"PCDHGA4"	"M10"
"PCDHGA9"	"M10"
"PCDHGB1"	"M2"
"PCDHGB2"	"M10"
"PCDHGB3"	"M1"
"PCDHGB5"	"M10"
"PCDHGB6"	"M10"
"PCDHGB7"	"M11"
"PCDHGB9P"	"M3"
"PCDHGC3"	"M22"
"PCDHGC4"	"M15"
"PCDHGC5"	"M12"
"PCED1A"	"M13"
"PCED1B"	"M9"
"PCED1B-AS1"	"M3"
"PCF11"	"M2"
"PCF11-AS1"	"M15"
"PCGF1"	"M5"
"PCGF2"	"M18"
"PCGF5"	"M8"
"PCGF6"	"M7"
"PCIF1"	"M18"
"PCK1"	"M20"
"PCK2"	"M10"
"PCLAF"	"M9"
"PCLO"	"M23"
"PCMTD1"	"M8"
"PCNA"	"M9"
"PCNP"	"M7"
"PCNPP1"	"M1"
"PCNT"	"M11"
"PCNX3"	"M5"
"PCOLCE"	"M1"
"PCOLCE-AS1"	"M9"
"PCOLCE2"	"M1"
"PCP4"	"M1"
"PCP4L1"	"M1"
"PCSK1"	"M1"
"PCSK2"	"M22"
"PCSK4"	"M5"
"PCSK5"	"M1"
"PCSK6"	"M2"
"PCSK6-AS1"	"M24"
"PCSK9"	"M1"
"PCTP"	"M1"
"PCYOX1"	"M21"
"PCYOX1L"	"M15"
"PCYT2"	"M5"
"PDAP1"	"M6"
"PDC-AS1"	"M10"
"PDCD10"	"M2"
"PDCD1LG2"	"M1"
"PDCD4"	"M9"
"PDCD4-AS1"	"M2"
"PDCD5"	"M12"
"PDCD5P2"	"M1"
"PDCD6"	"M3"
"PDCD6IP-DT"	"M1"
"PDCD6IPP1"	"M3"
"PDCD6IPP2"	"M1"
"PDCD7"	"M2"
"PDCL"	"M8"
"PDCL3"	"M1"
"PDCL3P4"	"M1"
"PDCL3P5"	"M1"
"PDCL3P7"	"M11"
"PDE10A"	"M1"
"PDE11A"	"M32"
"PDE1A"	"M1"
"PDE1B"	"M1"
"PDE1C"	"M1"
"PDE2A"	"M11"
"PDE3A"	"M1"
"PDE3B"	"M15"
"PDE4A"	"M25"
"PDE4B"	"M10"
"PDE4C"	"M1"
"PDE4D"	"M21"
"PDE4DIP"	"M23"
"PDE4DIPP1"	"M1"
"PDE4DIPP2"	"M21"
"PDE4DIPP5"	"M1"
"PDE4DIPP6"	"M4"
"PDE5A"	"M1"
"PDE6A"	"M3"
"PDE6B"	"M23"
"PDE6B-AS1"	"M12"
"PDE6C"	"M3"
"PDE7A-DT"	"M3"
"PDE7B"	"M1"
"PDE8A"	"M1"
"PDE8B"	"M3"
"PDE9A"	"M11"
"PDF"	"M3"
"PDGFA"	"M13"
"PDGFB"	"M1"
"PDGFC"	"M1"
"PDGFD"	"M9"
"PDGFRA"	"M1"
"PDGFRB"	"M1"
"PDGFRL"	"M1"
"PDHB"	"M3"
"PDIA2"	"M1"
"PDIA3P1"	"M2"
"PDIA4"	"M4"
"PDIA5"	"M1"
"PDIA6"	"M8"
"PDIK1L"	"M12"
"PDILT"	"M1"
"PDK1"	"M7"
"PDK2"	"M6"
"PDK4"	"M1"
"PDLIM1"	"M11"
"PDLIM1P4"	"M1"
"PDLIM2"	"M5"
"PDLIM3"	"M1"
"PDLIM4"	"M1"
"PDLIM5"	"M1"
"PDLIM7"	"M18"
"PDP1"	"M2"
"PDPK2P"	"M3"
"PDPN"	"M9"
"PDPR"	"M11"
"PDPR2P"	"M1"
"PDRG1"	"M3"
"PDS5A"	"M25"
"PDS5B"	"M2"
"PDSS2"	"M1"
"PDXDC2P"	"M6"
"PDXK"	"M13"
"PDXP"	"M3"
"PDYN"	"M1"
"PDZD2"	"M1"
"PDZD7"	"M8"
"PDZD8"	"M17"
"PDZD9"	"M3"
"PDZK1"	"M20"
"PDZK1P1"	"M1"
"PDZPH1P"	"M1"
"PDZRN3"	"M21"
"PDZRN4"	"M1"
"PEA15"	"M6"
"PEAK1"	"M1"
"PEAK3"	"M2"
"PEAR1"	"M12"
"PEBP1"	"M12"
"PECAM1"	"M2"
"PEDS1"	"M22"
"PEDS1-UBE2V1"	"M2"
"PEF1"	"M13"
"PEG10"	"M1"
"PEG13"	"M1"
"PEG3"	"M1"
"PELATON"	"M2"
"PELI1"	"M1"
"PELI2"	"M1"
"PELI3"	"M15"
"PELO"	"M12"
"PELP1"	"M5"
"PEMT"	"M5"
"PENK"	"M2"
"PEPD"	"M15"
"PER1"	"M6"
"PER2"	"M10"
"PER3"	"M1"
"PERP"	"M19"
"PES1"	"M6"
"PET100"	"M4"
"PET117"	"M7"
"PEX10"	"M5"
"PEX11B"	"M3"
"PEX11G"	"M5"
"PEX12"	"M8"
"PEX13"	"M7"
"PEX14"	"M6"
"PEX16"	"M3"
"PEX19"	"M6"
"PEX26"	"M3"
"PEX3"	"M7"
"PEX5"	"M3"
"PEX5L"	"M21"
"PEX6"	"M4"
"PF4"	"M20"
"PFAS"	"M5"
"PFDN1"	"M12"
"PFDN2"	"M4"
"PFDN4"	"M8"
"PFDN5"	"M4"
"PFDN6"	"M4"
"PFKFB2"	"M1"
"PFKFB3"	"M2"
"PFKL"	"M14"
"PFKM"	"M14"
"PFKP"	"M13"
"PFKP-DT"	"M1"
"PFN1"	"M6"
"PFN1P2"	"M3"
"PFN2"	"M3"
"PFN4"	"M1"
"PGA3"	"M2"
"PGAM1"	"M3"
"PGAM1P10"	"M21"
"PGAM1P11"	"M17"
"PGAM1P5"	"M1"
"PGAM1P6"	"M17"
"PGAM2"	"M1"
"PGAM5"	"M4"
"PGAP1"	"M1"
"PGAP2"	"M5"
"PGAP3"	"M5"
"PGAP4"	"M1"
"PGAP6"	"M15"
"PGBD5"	"M4"
"PGC"	"M9"
"PGD"	"M6"
"PGF"	"M3"
"PGGHG"	"M9"
"PGGT1B"	"M7"
"PGLS"	"M4"
"PGM1"	"M1"
"PGM2"	"M9"
"PGM2L1"	"M1"
"PGM3"	"M2"
"PGM5"	"M1"
"PGM5-AS1"	"M1"
"PGM5P2"	"M1"
"PGP"	"M13"
"PGPEP1"	"M3"
"PGPEP1L"	"M1"
"PGR"	"M26"
"PGR-AS1"	"M22"
"PGRMC2"	"M2"
"PGS1"	"M5"
"PHACTR1"	"M10"
"PHACTR2"	"M2"
"PHACTR2P1"	"M10"
"PHACTR3"	"M2"
"PHAX"	"M2"
"PHB"	"M4"
"PHB2"	"M14"
"PHBP13"	"M1"
"PHBP19"	"M12"
"PHBP2"	"M12"
"PHBP4"	"M2"
"PHBP7"	"M9"
"PHC1"	"M10"
"PHC1P1"	"M10"
"PHC2"	"M18"
"PHC2-AS1"	"M1"
"PHC3"	"M2"
"PHETA1"	"M13"
"PHETA2"	"M4"
"PHF1"	"M14"
"PHF10"	"M7"
"PHF11"	"M3"
"PHF12"	"M10"
"PHF13"	"M3"
"PHF14"	"M12"
"PHF19"	"M9"
"PHF2"	"M5"
"PHF20"	"M7"
"PHF20L1"	"M8"
"PHF21A"	"M2"
"PHF21B"	"M16"
"PHF23"	"M6"
"PHF24"	"M25"
"PHF3"	"M2"
"PHF5A"	"M3"
