"genes"	"modules"
"ADM"	"M1"
"ADM2"	"M9"
"ADM5"	"M13"
"ADNP"	"M11"
"ADNP-AS1"	"M1"
"ADNP2"	"M2"
"ADO"	"M16"
"ADORA1"	"M15"
"ADORA2A"	"M5"
"ADORA2A-AS1"	"M12"
"ADORA2B"	"M1"
"ADORA3"	"M30"
"ADPGK"	"M3"
"ADPGK-AS1"	"M2"
"ADPRH"	"M3"
"ADPRHL1"	"M1"
"ADPRM"	"M8"
"ADPRS"	"M4"
"ADRA1A"	"M1"
"ADRA1B"	"M1"
"ADRA1D"	"M1"
"ADRA2A"	"M1"
"ADRA2C"	"M1"
"ADRB1"	"M1"
"ADRB2"	"M9"
"ADRB3"	"M2"
"ADRM1"	"M14"
"ADSS1"	"M1"
"ADSS2"	"M7"
"ADTRP"	"M1"
"AEBP1"	"M10"
"AEBP2"	"M3"
"AEN"	"M3"
"AFAP1-AS1"	"M1"
"AFAP1L1"	"M1"
"AFAP1L2"	"M1"
"AFDN"	"M1"
"AFDN-DT"	"M1"
"AFF1"	"M3"
"AFF3"	"M1"
"AFF4"	"M2"
"AFG3L1P"	"M17"
"AFMID"	"M3"
"AFP"	"M20"
"AGA"	"M1"
"AGAP1"	"M11"
"AGAP1-IT1"	"M8"
"AGAP10P"	"M1"
"AGAP12P"	"M1"
"AGAP13P"	"M3"
"AGAP14P"	"M31"
"AGAP2"	"M22"
"AGAP2-AS1"	"M1"
"AGAP3"	"M18"
"AGAP4"	"M3"
"AGAP5"	"M3"
"AGAP6"	"M3"
"AGAP7P"	"M2"
"AGAP9"	"M3"
"AGBL1"	"M1"
"AGBL1-AS1"	"M2"
"AGBL2"	"M2"
"AGBL3"	"M12"
"AGBL4"	"M1"
"AGBL4-IT1"	"M1"
"AGBL5"	"M15"
"AGER"	"M10"
"AGFG2"	"M2"
"AGGF1"	"M2"
"AGGF1P1"	"M1"
"AGGF1P2"	"M1"
"AGGF1P3"	"M3"
"AGGF1P8"	"M4"
"AGK-DT"	"M3"
"AGL"	"M12"
"AGMAT"	"M2"
"AGMO"	"M1"
"AGO1"	"M18"
"AGO2"	"M10"
"AGPAT1"	"M14"
"AGPAT2"	"M5"
"AGR2"	"M26"
"AGRN"	"M2"
"AGT"	"M20"
"AGTPBP1"	"M12"
"AGTR1"	"M19"
"AGTRAP"	"M3"
"AGXT"	"M20"
"AGXT2"	"M20"
"AHCTF1P1"	"M3"
"AHCY"	"M4"
"AHCYL1"	"M2"
"AHCYL2"	"M2"
"AHCYP7"	"M6"
"AHDC1"	"M18"
"AHI1"	"M1"
"AHNAK"	"M19"
"AHNAK2"	"M22"
"AHR"	"M1"
"AHRR"	"M8"
"AHSA1"	"M6"
"AHSG"	"M20"
"AHSP"	"M20"
"AIDA"	"M2"
"AIDAP2"	"M29"
"AIF1"	"M30"
"AIF1L"	"M1"
"AIFM2"	"M3"
"AIFM3"	"M1"
"AIM2"	"M1"
"AIMP1"	"M8"
"AIMP1P1"	"M3"
"AIMP2"	"M6"
"AIP"	"M14"
"AIPL1"	"M2"
"AIRE"	"M2"
"AIRN"	"M1"
"AJAP1"	"M1"
"AJM1"	"M15"
"AJUBA"	"M23"
"AK1"	"M15"
"AK3P3"	"M10"
"AK4"	"M1"
"AK4P1"	"M3"
"AK5"	"M1"
"AK6"	"M7"
"AK7"	"M1"
"AK8"	"M1"
"AK9"	"M2"
"AKAIN1"	"M1"
"AKAP1"	"M22"
"AKAP1-DT"	"M1"
"AKAP12"	"M2"
"AKAP3"	"M1"
"AKAP5"	"M2"
"AKAP6"	"M1"
"AKAP7"	"M21"
"AKAP8L"	"M6"
"AKAP9"	"M2"
"AKIRIN1"	"M17"
"AKIRIN2"	"M4"
"AKNA"	"M1"
"AKNAD1"	"M21"
"AKR1A1"	"M4"
"AKR1B1"	"M3"
"AKR1B10"	"M22"
"AKR1B10P2"	"M2"
"AKR1B15"	"M3"
"AKR1B1P1"	"M1"
"AKR1B1P3"	"M1"
"AKR1C1"	"M4"
"AKR1C2"	"M1"
"AKR1C3"	"M9"
"AKR1D1"	"M20"
"AKR1E2"	"M1"
"AKR7A2"	"M4"
"AKR7A3"	"M8"
"AKT1"	"M14"
"AKT1S1"	"M6"
"AKT2"	"M18"
"AKT3"	"M8"
"AKT3-IT1"	"M1"
"ALAD"	"M10"
"ALAS1"	"M14"
"ALB"	"M20"
"ALCAM"	"M1"
"ALDH16A1"	"M5"
"ALDH1A1"	"M1"
"ALDH1A2"	"M1"
"ALDH1A3"	"M32"
"ALDH1B1"	"M4"
"ALDH1L1"	"M1"
"ALDH1L1-AS2"	"M1"
"ALDH2"	"M4"
"ALDH3B1"	"M2"
"ALDH4A1"	"M2"
"ALDH5A1"	"M1"
"ALDH7A1P1"	"M12"
"ALDH8A1"	"M2"
"ALDH9A1"	"M4"
"ALDOA"	"M15"
"ALDOB"	"M20"
"ALDOC"	"M1"
"ALG1"	"M3"
"ALG10"	"M7"
"ALG10B"	"M7"
"ALG12"	"M10"
"ALG14"	"M2"
"ALG1L"	"M3"
"ALG1L10P"	"M2"
"ALG1L11P"	"M2"
"ALG1L12P"	"M11"
"ALG1L13P"	"M5"
"ALG1L2"	"M3"
"ALG2"	"M8"
"ALG3"	"M6"
"ALG3P1"	"M7"
"ALG5"	"M7"
"ALG6"	"M10"
"ALG9-IT1"	"M15"
"ALK"	"M1"
"ALKAL2"	"M23"
"ALKBH2"	"M4"
"ALKBH4"	"M5"
"ALKBH5"	"M4"
"ALKBH6"	"M15"
"ALKBH7"	"M3"
"ALKBH8"	"M8"
"ALLC"	"M1"
"ALMS1P1"	"M1"
"ALOX12B"	"M15"
"ALOX12P1"	"M8"
"ALOX12P2"	"M4"
"ALOX15"	"M1"
"ALOX15B"	"M2"
"ALOX15P1"	"M1"
"ALOX5"	"M1"
"ALOX5AP"	"M30"
"ALOXE3"	"M1"
"ALPK1"	"M1"
"ALPK2"	"M2"
"ALPK3"	"M8"
"ALPL"	"M1"
"ALPP"	"M1"
"ALS2CL"	"M1"
"ALX4"	"M1"
"ALYREF"	"M4"
"AMACR"	"M1"
"AMBP"	"M20"
"AMD1"	"M8"
"AMD1P1"	"M21"
"AMD1P3"	"M3"
"AMD1P4"	"M24"
"AMDHD1"	"M20"
"AMDHD2"	"M5"
"AMER2"	"M1"
"AMER3"	"M14"
"AMH"	"M2"
"AMIGO1"	"M13"
"AMIGO2"	"M16"
"AMIGO3"	"M5"
"AMMECR1LP1"	"M1"
"AMN"	"M20"
"AMOTL1"	"M1"
"AMOTL2"	"M14"
"AMPD2"	"M15"
"AMPD3"	"M14"
"AMPH"	"M1"
"AMT"	"M7"
"AMY1A"	"M6"
"AMY1B"	"M2"
"AMY2A"	"M1"
"AMZ1"	"M1"
"AMZ2"	"M2"
"AMZ2P1"	"M8"
"ANAPC1"	"M22"
"ANAPC11"	"M3"
"ANAPC13"	"M1"
"ANAPC15"	"M6"
"ANAPC16"	"M7"
"ANAPC1P1"	"M1"
"ANAPC1P2"	"M3"
"ANAPC1P4"	"M14"
"ANAPC2"	"M5"
"ANAPC4"	"M10"
"ANG"	"M20"
"ANGPT1"	"M1"
"ANGPT2"	"M1"
"ANGPT4"	"M8"
"ANGPTL1"	"M9"
"ANGPTL2"	"M1"
"ANGPTL3"	"M20"
"ANGPTL4"	"M2"
"ANK1"	"M1"
"ANK2"	"M21"
"ANK2-AS1"	"M1"
"ANK3"	"M23"
"ANKAR"	"M12"
"ANKDD1A"	"M2"
"ANKDD1B"	"M1"
"ANKEF1"	"M1"
"ANKFN1"	"M1"
"ANKFY1"	"M3"
"ANKH"	"M1"
"ANKHD1-EIF4EBP3"	"M10"
"ANKIB1"	"M2"
"ANKK1"	"M1"
"ANKLE1"	"M2"
"ANKMY1"	"M7"
"ANKRD1"	"M2"
"ANKRD10"	"M12"
"ANKRD10-IT1"	"M7"
"ANKRD11"	"M12"
"ANKRD12"	"M2"
"ANKRD13B"	"M1"
"ANKRD13C"	"M8"
"ANKRD13D"	"M2"
"ANKRD17"	"M3"
"ANKRD18A"	"M1"
"ANKRD18B"	"M1"
"ANKRD18CP"	"M1"
"ANKRD18DP"	"M1"
"ANKRD19P"	"M4"
